ad_type_name,area,price,address,property_legal_document,rooms,toilets
Nhà ở,80,11000000000,Hà Nội,đã có sổ,4.0,3.0
Nhà ở,75,13950000000,Hà Nội,đã có sổ,4.0,4.0
Nhà ở,77,7600000000,Hà Nội,đã có sổ,4.0,4.0
Nhà ở,77,24450000000,Hà Nội,đã có sổ,6.0,6.0
Nhà ở,129,8600000000,Hà Nội,đã có sổ,4.0,3.0
Căn hộ/Chung cư,123,3100000000,Hà Nội,sổ hồng riêng,1.0,1.0
Căn hộ/Chung cư,75,7350000000,Hà Nội,chưa rõ,2.0,2.0
Nhà ở,121,12558000000,Hà Nội,đã có sổ,5.0,5.0
Căn hộ/Chung cư,78,8000000,Hà Nội,không có sổ,2.0,1.0
Nhà ở,81,12000000,Hà Nội,đã có sổ,4.0,4.0
Căn hộ/Chung cư,76,4700000,Hà Nội,không có sổ,1.0,1.0
Nhà ở,86,4550000000,Hà Nội,đã có sổ,4.0,3.0
Căn hộ/Chung cư,121,5900000000,Hà Nội,sổ hồng riêng,3.0,2.0
Nhà ở,86,5250000000,Hà Nội,đã có sổ,5.0,4.0
Căn hộ/Chung cư,129,6800000000,Hà Nội,sổ hồng riêng,3.0,2.0
Căn hộ/Chung cư,76,6000000,Hà Nội,sổ hồng riêng,1.0,1.0
Nhà ở,80,2776000000,Hà Nội,đã có sổ,3.0,2.0
Nhà ở,77,64860000000,Hà Nội,đã có sổ,11.0,7.0
Nhà ở,74,4108000000,Hà Nội,đã có sổ,4.0,4.0
Nhà ở,76,5980000000,Hà Nội,đã có sổ,3.0,3.0
Nhà ở,75,9600000000,Hà Nội,đã có sổ,4.0,3.0
Nhà ở,78,10800000000,Hà Nội,đang chờ sổ,2.0,3.0
Nhà ở,74,8000000000,Hà Nội,đã có sổ,3.0,3.0
Nhà ở,77,7800000000,Hà Nội,đã có sổ,4.0,4.0
Căn hộ/Chung cư,86,11500000,Hà Nội,sổ hồng riêng,3.0,2.0
Nhà ở,121,10500000000,Hà Nội,đã có sổ,3.0,3.0
Căn hộ/Chung cư,86,17000000,Hà Nội,sổ hồng riêng,3.0,2.0
Nhà ở,76,16800000000,Hà Nội,đã có sổ,5.0,5.0
Nhà ở,80,8600000000,Hà Nội,đã có sổ,4.0,3.0
Nhà ở,81,6380000000,Hà Nội,đã có sổ,3.0,4.0
Nhà ở,76,9800000000,Hà Nội,đã có sổ,6.0,4.0
Nhà ở,79,7700000000,Hà Nội,đã có sổ,3.0,4.0
Nhà ở,121,7900000000,Hà Nội,đã có sổ,4.0,5.0
Nhà ở,81,18000000000,Hà Nội,đã có sổ,4.0,4.0
Nhà ở,86,25500000000,Hà Nội,đã có sổ,5.0,4.0
Căn hộ/Chung cư,129,8050000000,Hà Nội,chưa rõ,2.0,2.0
Nhà ở,77,12300000000,Hà Nội,đã có sổ,6.0,3.0
Nhà ở,75,16700000000,Hà Nội,đã có sổ,6.0,7.0
Căn hộ/Chung cư,121,8500000,Hà Nội,chưa rõ,1.0,1.0
Nhà ở,75,3350000000,Hà Nội,đã có sổ,2.0,2.0
Nhà ở,79,45000000000,Hà Nội,đã có sổ,6.0,6.0
Căn hộ/Chung cư,78,40000000,Hà Nội,sổ hồng riêng,3.0,2.0
